idService,app,time,action
65,5,7900,nop
7,6,7900,nop
6,5,7900,nop
5,4,7900,nop
3,2,7900,nop
2,1,7900,nop
122,3,8100,nop
120,1,8100,nop
117,3,8100,migrate
115,4,8100,nop
113,6,8100,nop
111,3,8100,nop
109,1,8100,nop
105,2,8100,nop
103,3,8100,nop
101,3,8100,nop
99,1,8100,nop
97,1,8100,nop
95,3,8100,nop
93,3,8100,nop
91,2,8100,nop
89,1,8100,nop
87,1,8100,nop
85,2,8100,nop
83,3,8100,nop
81,5,8100,nop
79,3,8100,replicate
77,2,8100,nop
75,1,8100,nop
73,1,8100,nop
71,2,8100,nop
67,4,8100,nop
65,5,8100,nop
7,6,8100,nop
6,5,8100,nop
5,4,8100,nop
3,2,8100,nop
2,1,8100,nop
126,3,8300,nop
124,3,8300,none
122,3,8300,nop
120,1,8300,nop
115,4,8300,nop
113,6,8300,nop
111,3,8300,nop
109,1,8300,nop
105,2,8300,nop
103,3,8300,nop
101,3,8300,nop
99,1,8300,nop
97,1,8300,nop
95,3,8300,nop
93,3,8300,undeploy
91,2,8300,nop
89,1,8300,nop
87,1,8300,nop
85,2,8300,nop
83,3,8300,nop
81,5,8300,nop
79,3,8300,nop
77,2,8300,nop
75,1,8300,nop
73,1,8300,nop
71,2,8300,nop
67,4,8300,nop
65,5,8300,nop
7,6,8300,nop
6,5,8300,nop
5,4,8300,nop
3,2,8300,nop
2,1,8300,nop
126,3,8500,nop
124,3,8500,none
122,3,8500,nop
120,1,8500,nop
115,4,8500,nop
113,6,8500,nop
111,3,8500,nop
109,1,8500,nop
105,2,8500,nop
103,3,8500,nop
101,3,8500,nop
99,1,8500,nop
97,1,8500,nop
95,3,8500,nop
91,2,8500,nop
89,1,8500,nop
87,1,8500,nop
85,2,8500,nop
83,3,8500,nop
81,5,8500,nop
79,3,8500,nop
77,2,8500,nop
75,1,8500,nop
73,1,8500,nop
71,2,8500,nop
67,4,8500,nop
65,5,8500,nop
7,6,8500,nop
6,5,8500,nop
5,4,8500,nop
3,2,8500,nop
2,1,8500,nop
126,3,8700,nop
124,3,8700,none
122,3,8700,nop
120,1,8700,nop
115,4,8700,nop
113,6,8700,nop
111,3,8700,nop
109,1,8700,nop
105,2,8700,nop
103,3,8700,nop
101,3,8700,nop
99,1,8700,nop
97,1,8700,nop
95,3,8700,nop
91,2,8700,nop
89,1,8700,nop
87,1,8700,nop
85,2,8700,nop
83,3,8700,nop
81,5,8700,nop
79,3,8700,nop
77,2,8700,nop
75,1,8700,nop
73,1,8700,nop
71,2,8700,nop
67,4,8700,nop
65,5,8700,nop
7,6,8700,nop
6,5,8700,nop
5,4,8700,nop
3,2,8700,nop
2,1,8700,nop
126,3,8900,nop
124,3,8900,none
122,3,8900,nop
120,1,8900,nop
115,4,8900,nop
113,6,8900,nop
111,3,8900,nop
109,1,8900,nop
105,2,8900,nop
103,3,8900,nop
101,3,8900,nop
99,1,8900,nop
97,1,8900,nop
95,3,8900,nop
91,2,8900,nop
89,1,8900,nop
87,1,8900,nop
85,2,8900,nop
83,3,8900,nop
81,5,8900,nop
79,3,8900,nop
77,2,8900,nop
75,1,8900,nop
73,1,8900,nop
71,2,8900,nop
67,4,8900,nop
65,5,8900,nop
7,6,8900,nop
6,5,8900,nop
5,4,8900,nop
3,2,8900,nop
2,1,8900,nop
126,3,9100,nop
124,3,9100,none
122,3,9100,nop
120,1,9100,nop
115,4,9100,nop
113,6,9100,nop
111,3,9100,nop
109,1,9100,nop
105,2,9100,nop
103,3,9100,nop
101,3,9100,nop
99,1,9100,nop
97,1,9100,nop
95,3,9100,nop
91,2,9100,nop
89,1,9100,nop
87,1,9100,nop
85,2,9100,nop
83,3,9100,nop
81,5,9100,nop
79,3,9100,nop
77,2,9100,nop
75,1,9100,nop
73,1,9100,nop
71,2,9100,nop
67,4,9100,nop
65,5,9100,nop
7,6,9100,nop
6,5,9100,nop
5,4,9100,nop
3,2,9100,nop
2,1,9100,nop
126,3,9300,nop
124,3,9300,none
122,3,9300,nop
120,1,9300,nop
115,4,9300,nop
113,6,9300,nop
111,3,9300,nop
109,1,9300,nop
105,2,9300,nop
103,3,9300,nop
101,3,9300,nop
99,1,9300,nop
97,1,9300,nop
95,3,9300,nop
91,2,9300,nop
89,1,9300,nop
87,1,9300,nop
85,2,9300,nop
83,3,9300,nop
81,5,9300,nop
79,3,9300,nop
77,2,9300,nop
75,1,9300,nop
